match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1986-08-09|19|Geelong Cats|Melbourne Demons,1986-08-09,1986,45698.0,16.0,45698.0,7.0,45698,109
1986-08-10|19|Carlton Blues|Collingwood Magpies,1986-08-10,1986,45380.0,26.0,45879.0,4.0,45380,90
1986-08-10|19|Hawthorn Hawks|Sydney Swans,1986-08-10,1986,45840.0,4.0,,,45840,13
1986-08-16|20|Carlton Blues|Geelong Cats,1986-08-16,1986,45380.0,28.0,45380.0,1.0,45380,107
1986-08-16|20|Essendon Bombers|St Kilda Saints,1986-08-16,1986,45852.0,11.0,45852.0,2.0,45852,72
1986-08-16|20|Fitzroy Lions|North Melbourne Kangaroos,1986-08-16,1986,45361.0,19.0,,,45361,60
1986-08-16|20|Melbourne Demons|Western Bulldogs,1986-08-16,1986,45698.0,20.0,45672.0,1.0,45698,63
1986-08-23|21|Carlton Blues|Western Bulldogs,1986-08-23,1986,45380.0,24.0,45380.0,1.0,45380,86
1986-08-23|21|Essendon Bombers|Fitzroy Lions,1986-08-23,1986,45361.0,16.0,,,45361,50
1986-08-23|21|Geelong Cats|Hawthorn Hawks,1986-08-23,1986,45906.0,3.0,,,45906,9
1986-08-23|21|Melbourne Demons|North Melbourne Kangaroos,1986-08-23,1986,45698.0,11.0,45698.0,1.0,45698,47
1986-08-24|21|St Kilda Saints|Sydney Swans,1986-08-24,1986,45679.0,7.0,45679.0,4.0,45679,59
1986-08-30|22|Carlton Blues|Melbourne Demons,1986-08-30,1986,45380.0,26.0,45380.0,6.0,45380,114
1986-08-30|22|Collingwood Magpies|St Kilda Saints,1986-08-30,1986,45679.0,8.0,45679.0,5.0,45679,61
1986-08-30|22|Essendon Bombers|North Melbourne Kangaroos,1986-08-30,1986,45852.0,13.0,,,45852,69
1986-08-30|22|Fitzroy Lions|Sydney Swans,1986-08-30,1986,45361.0,5.0,,,45361,14
1986-08-30|22|Geelong Cats|Richmond Tigers,1986-08-30,1986,45906.0,10.0,,,45906,36
1986-09-06|EF|Essendon Bombers|Fitzroy Lions,1986-09-06,1986,45361.0,10.0,,,45852,48
1986-09-07|QF|Carlton Blues|Sydney Swans,1986-09-07,1986,45380.0,33.0,45380.0,1.0,45380,123
1986-09-13|SF|Carlton Blues|Hawthorn Hawks,1986-09-13,1986,45380.0,23.0,45380.0,1.0,45380,73
1986-09-14|SF|Fitzroy Lions|Sydney Swans,1986-09-14,1986,45361.0,6.0,,,45361,17
1986-09-20|PF|Fitzroy Lions|Hawthorn Hawks,1986-09-20,1986,45361.0,9.0,,,45361,26
1986-09-27|GF|Carlton Blues|Hawthorn Hawks,1986-09-27,1986,45380.0,8.0,,,45380,24
1987-03-27|1|Brisbane Bears|North Melbourne Kangaroos,1987-03-27,1987,45840.0,9.0,,,45840,37
1987-03-28|1|Carlton Blues|Hawthorn Hawks,1987-03-28,1987,45879.0,13.0,45879.0,3.0,45879,60
1987-03-28|1|Collingwood Magpies|Sydney Swans,1987-03-28,1987,45386.0,21.0,,,45455,69
1987-03-28|1|Essendon Bombers|Western Bulldogs,1987-03-28,1987,45852.0,14.0,,,45852,83
1987-03-28|1|Fitzroy Lions|Melbourne Demons,1987-03-28,1987,45939.0,19.0,,,45939,96
1987-03-28|1|Geelong Cats|St Kilda Saints,1987-03-28,1987,45682.0,16.0,45682.0,3.0,45682,92
1987-03-29|1|Richmond Tigers|West Coast Eagles,1987-03-29,1987,45670.0,14.0,,,45670,58
1987-04-03|2|Melbourne Demons|North Melbourne Kangaroos,1987-04-03,1987,45939.0,19.0,45939.0,1.0,45939,79
1987-04-04|2|Brisbane Bears|Geelong Cats,1987-04-04,1987,45840.0,7.0,,,45840,27
1987-04-04|2|Carlton Blues|Collingwood Magpies,1987-04-04,1987,45380.0,22.0,45879.0,4.0,45879,94
1987-04-04|2|Essendon Bombers|West Coast Eagles,1987-04-04,1987,45852.0,16.0,45852.0,2.0,45852,87
1987-04-04|2|Fitzroy Lions|St Kilda Saints,1987-04-04,1987,45361.0,22.0,45679.0,5.0,45682,103
1987-04-10|3|Fitzroy Lions|North Melbourne Kangaroos,1987-04-10,1987,45320.0,16.0,,,45320,62
1987-04-11|3|Brisbane Bears|St Kilda Saints,1987-04-11,1987,45679.0,10.0,45679.0,3.0,45682,63
1987-04-11|3|Carlton Blues|Western Bulldogs,1987-04-11,1987,45380.0,35.0,45879.0,5.0,45380,136
1987-04-11|3|Collingwood Magpies|Hawthorn Hawks,1987-04-11,1987,45386.0,15.0,,,45386,54
