match_id,match_date,season,round,home_team,away_team,venue,home_score,away_score,target_home_win,target_draw,target_result,target_margin,home_win_rate_last5,away_win_rate_last5,home_avg_score_for_last5,away_avg_score_for_last5,home_avg_score_against_last5,away_avg_score_against_last5,home_win_streak,away_win_streak,home_rest_days,away_rest_days,home_ladder_points_prior,away_ladder_points_prior,home_ladder_position_prior,away_ladder_position_prior,ladder_points_diff,h2h_home_win_rate_prior,h2h_games_prior
10740,1983-08-06,1983,19,Carlton Blues,st kilda saints,Princes Park,168,61,1,0,W,107,0.8,0.0,117.8,87.0,85.0,100.0,3,0,7.0,133.0,40,0,4.0,20.0,40,,0
11522,1983-08-06,1983,19,Essendon Bombers,Hawthorn Hawks,Windy Hill,156,110,1,0,W,46,0.4,1.0,91.6,126.6,98.2,84.8,0,6,7.0,7.0,44,44,3.0,2.0,0,0.0,1
11923,1983-08-06,1983,19,Fitzroy Lions,Melbourne Demons,Junction Oval,161,75,1,0,W,86,0.4,0.8,135.0,98.8,107.8,86.2,1,1,7.0,7.0,36,32,5.0,7.0,4,1.0,1
13990,1983-08-06,1983,19,Richmond Tigers,Collingwood Magpies,Melbourne Cricket Ground,79,89,0,0,L,-10,0.6,0.6,98.8,96.8,97.4,98.8,1,1,7.0,7.0,20,36,11.0,6.0,-16,0.0,1
15438,1983-08-06,1983,19,Western Bulldogs,north melbourne kangaroos,Waverley Park,71,164,0,0,L,-93,0.0,0.5,81.2,127.5,114.2,132.5,0,0,7.0,49.0,24,4,10.0,17.0,20,,0
11139,1983-08-13,1983,20,Collingwood Magpies,Sydney Swans,Victoria Park,182,120,1,0,W,62,0.6,0.4,94.6,104.4,105.6,123.6,2,0,7.0,8.0,40,28,6.0,9.0,12,,0
12739,1983-08-13,1983,20,Hawthorn Hawks,Carlton Blues,Princes Park,112,129,0,0,L,-17,0.8,0.8,126.6,117.2,100.4,80.8,0,4,7.0,7.0,44,44,3.0,4.0,0,0.0,1
13139,1983-08-13,1983,20,North Melbourne Kangaroos,Geelong Cats,Aegis Park,116,84,1,0,W,32,0.8,0.2,118.0,80.8,93.2,98.6,0,1,14.0,8.0,48,28,1.0,8.0,20,1.0,1
13533,1983-08-13,1983,20,Melbourne Demons,Essendon Bombers,Melbourne Cricket Ground,124,141,0,0,L,-17,0.6,0.4,94.0,95.2,101.4,102.0,0,1,7.0,7.0,32,48,7.0,2.0,-16,0.0,1
13991,1983-08-13,1983,20,Richmond Tigers,St Kilda Saints,Waverley Park,65,140,0,0,L,-75,0.4,0.6,100.6,110.6,101.4,109.4,0,0,7.0,14.0,20,16,11.0,12.0,4,0.0,1
15439,1983-08-13,1983,20,Western Bulldogs,Fitzroy Lions,Western Oval,125,99,1,0,W,26,0.0,0.4,79.0,123.2,112.8,108.8,0,2,7.0,7.0,24,40,10.0,6.0,-16,1.0,1
